amfi_code,HHI,concentration
100016,1805.8807999999997,High Concentration
100033,2276.4744,High Concentration
101206,1800.4225,High Concentration
101207,2227.2651,High Concentration
102885,1807.1201999999998,High Concentration
102886,1240.2024000000001,Diversified
102887,2513.8255,High Concentration
118632,2072.5894,High Concentration
118633,2212.0032,High Concentration
118634,1602.9924,High Concentration
118635,2374.9677,High Concentration
119092,2967.6908999999996,High Concentration
119093,1842.332,High Concentration
119094,1751.0025,High Concentration
119095,1595.8229000000001,High Concentration
119551,1424.9103999999998,Diversified
119552,2275.0834999999997,High Concentration
119598,1880.8485,High Concentration
119599,2323.612,High Concentration
120503,1821.6750000000002,High Concentration
120504,2212.1303,High Concentration
120505,2386.9504,High Concentration
120506,2314.6434,High Concentration
120841,2158.9314999999997,High Concentration
120842,1620.6189,High Concentration
120843,1362.0616,Diversified
125497,1724.1088,High Concentration
125498,2531.55,High Concentration
148567,2012.4815,High Concentration
148568,2180.8585,High Concentration
148569,2549.9193999999998,High Concentration
149322,1826.9533000000001,High Concentration
149323,2410.7663999999995,High Concentration
149324,1887.0082,High Concentration
