investor_id,transaction_count,avg_gap_days,risk_status
INV000002,6,82.8,At Risk
INV000004,9,53.375,At Risk
INV000005,8,52.0,At Risk
INV000006,6,99.0,At Risk
INV000008,8,50.285714285714285,At Risk
INV000009,7,80.83333333333333,At Risk
INV000010,11,32.8,Active
INV000011,11,45.2,At Risk
INV000012,11,41.4,At Risk
INV000013,10,36.888888888888886,At Risk
INV000014,11,47.1,At Risk
INV000020,6,57.8,At Risk
INV000021,6,75.4,At Risk
INV000022,6,95.8,At Risk
INV000023,10,45.55555555555556,At Risk
INV000024,8,43.285714285714285,At Risk
INV000026,7,72.33333333333333,At Risk
INV000027,7,58.5,At Risk
INV000028,9,58.5,At Risk
INV000029,11,36.4,At Risk
INV000030,12,38.27272727272727,At Risk
INV000031,6,85.0,At Risk
INV000032,8,67.71428571428571,At Risk
INV000033,11,46.2,At Risk
INV000038,7,64.16666666666667,At Risk
INV000039,8,52.857142857142854,At Risk
INV000040,10,51.55555555555556,At Risk
INV000041,6,68.6,At Risk
INV000044,6,89.0,At Risk
INV000045,10,39.22222222222222,At Risk
INV000046,7,72.0,At Risk
INV000048,11,36.8,At Risk
INV000051,6,63.2,At Risk
INV000052,10,46.0,At Risk
INV000054,7,56.0,At Risk
INV000055,12,36.36363636363637,At Risk
INV000056,8,66.85714285714286,At Risk
INV000057,11,34.8,Active
INV000058,7,56.833333333333336,At Risk
INV000062,8,66.28571428571429,At Risk
INV000065,6,91.8,At Risk
INV000066,7,40.833333333333336,At Risk
INV000069,12,40.18181818181818,At Risk
INV000071,7,14.333333333333334,Active
INV000072,10,46.666666666666664,At Risk
INV000073,10,45.666666666666664,At Risk
INV000074,11,50.8,At Risk
INV000075,7,62.333333333333336,At Risk
INV000076,9,58.375,At Risk
INV000079,9,56.125,At Risk
INV000081,11,48.8,At Risk
INV000082,9,62.75,At Risk
INV000084,7,76.5,At Risk
INV000085,8,52.142857142857146,At Risk
INV000086,12,36.54545454545455,At Risk
INV000087,10,51.55555555555556,At Risk
INV000089,11,49.1,At Risk
INV000090,7,48.5,At Risk
INV000091,12,45.63636363636363,At Risk
INV000093,10,49.333333333333336,At Risk
INV000094,11,44.8,At Risk
INV000095,9,52.375,At Risk
INV000097,11,45.7,At Risk
INV000098,7,66.83333333333333,At Risk
INV000099,8,52.42857142857143,At Risk
INV000100,8,61.42857142857143,At Risk
INV000101,12,42.18181818181818,At Risk
INV000102,11,45.7,At Risk
INV000103,8,63.857142857142854,At Risk
INV000104,12,45.0,At Risk
INV000105,10,44.333333333333336,At Risk
INV000108,9,45.625,At Risk
INV000109,10,41.111111111111114,At Risk
INV000113,9,55.625,At Risk
INV000115,6,94.0,At Risk
INV000117,8,54.857142857142854,At Risk
INV000118,6,50.6,At Risk
INV000123,9,44.75,At Risk
INV000124,6,86.8,At Risk
INV000125,7,57.166666666666664,At Risk
INV000128,10,45.55555555555556,At Risk
INV000129,11,49.1,At Risk
INV000130,10,38.22222222222222,At Risk
INV000131,12,37.72727272727273,At Risk
INV000132,9,46.125,At Risk
INV000133,7,73.5,At Risk
INV000137,9,41.75,At Risk
INV000138,12,45.36363636363637,At Risk
INV000143,7,51.333333333333336,At Risk
INV000144,6,73.0,At Risk
INV000145,9,55.875,At Risk
INV000146,8,47.714285714285715,At Risk
INV000147,7,58.0,At Risk
INV000148,10,46.22222222222222,At Risk
INV000150,9,58.0,At Risk
INV000151,6,66.8,At Risk
INV000153,10,31.444444444444443,Active
INV000154,9,59.125,At Risk
INV000155,8,55.285714285714285,At Risk
INV000156,7,79.83333333333333,At Risk
INV000158,8,63.714285714285715,At Risk
INV000161,9,54.75,At Risk
INV000163,10,47.44444444444444,At Risk
INV000164,6,61.8,At Risk
INV000165,9,58.875,At Risk
INV000166,7,83.0,At Risk
INV000167,9,63.0,At Risk
INV000169,12,41.18181818181818,At Risk
INV000173,11,34.6,Active
INV000174,8,68.28571428571429,At Risk
INV000175,12,45.63636363636363,At Risk
INV000177,11,45.8,At Risk
INV000179,6,35.8,At Risk
INV000180,8,47.857142857142854,At Risk
INV000181,10,52.333333333333336,At Risk
INV000182,10,55.22222222222222,At Risk
INV000183,12,41.54545454545455,At Risk
INV000189,6,91.6,At Risk
